Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.545,2.455,Hai phương pháp gần nhau.
cross-doc,Faithfulness,4.636,4.636,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,2.727,2.545,Hai phương pháp gần nhau.
cross-doc,Latency (s),3.14,2.584,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,736.364,685.909,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),5.627,4.521,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,753.5,659.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,2.5,2.333,Hai phương pháp gần nhau.
multi-hop,Faithfulness,4.583,4.333,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,2.5,2.333,Hai phương pháp gần nhau.
multi-hop,Latency (s),4.179,3.059,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,930.583,862.833,GraphRAG không đắt hơn trong sample này.
